相机,时间,正常计数,失败计数,异常率,节拍时间
相机1,18:21:49:831_2020_12_04,1,0,0%,937.17
相机1,18:39:46:283_2020_12_04,1,0,0%,1436.70
相机1,18:47:30:907_2020_12_04,4,2,0%,150.33
相机1,18:52:43:685_2020_12_04,9,0,0%,158.10
相机1,18:59:18:458_2020_12_04,5,1,0%,152.53
相机1,19:10:30:480_2020_12_04,4,0,0%,128.66
